s_name,s_width,s_height,s_size,s_duration,s_scan_type,s_content_type,e_width,e_height,e_aspect_ratio,e_pixel_aspect_ratio,e_codec,e_codec_profile,e_codec_level,e_framerate,e_gop_size,e_b_frame_int,e_scan_type,e_bit_depth,e_pixel_fmt,e_bitrate,e_max_bitrate,e_buffer_size,e_size,e_duration,t_vmaf
avenger.mp4,1280,720,28838639,5.005000,progressive,action_adventure,428,240,16:9,1:1,h264,baseline,3.0,25,50,-,progressive,8,yuv420p,10k,15k,20k,6928,-,63.847853
avenger.mp4,1280,720,28838639,5.005000,progressive,action_adventure,640,360,16:9,1:1,h264,baseline,3.0,25,50,-,progressive,8,yuv420p,10k,15k,20k,8601,-,78.066387
